step,V,P,T,S,Q,W,phase
1,1.005,497.5124378109453,500,0.004987541511038529,2.5,2.5,isothermal_hot
2,1.0099999999999998,495.04950495049513,500,0.009950330853166989,4.987562189054726,4.987562189054726,isothermal_hot
3,1.0149999999999997,492.6108374384238,500,0.014888612493750841,7.462809713807202,7.462809713807202,isothermal_hot
4,1.0199999999999996,490.19607843137277,500,0.019802627296179764,9.925863900999321,9.925863900999321,isothermal_hot
5,1.0249999999999995,487.8048780487807,500,0.024692612590371255,12.376844293156186,12.376844293156186,isothermal_hot
6,1.0299999999999994,485.4368932038838,500,0.029558802241544058,14.81586868340009,14.81586868340009,isothermal_hot
7,1.0349999999999993,483.0917874396139,500,0.034401426717332484,17.24305314941951,17.24305314941951,isothermal_hot
8,1.0399999999999991,480.76923076923117,500,0.039220713153280684,19.658512086617577,19.658512086617577,isothermal_hot
9,1.044999999999999,478.4688995215315,500,0.04401688541677373,22.062358240463734,22.062358240463734,isothermal_hot
10,1.049999999999999,476.19047619047666,500,0.04879016416943038,24.45470273807139,24.45470273807139,isothermal_hot
11,1.0549999999999988,473.93364928910006,500,0.05354076692802856,26.835655119023773,26.835655119023773,isothermal_hot
12,1.0599999999999987,471.69811320754775,500,0.05826890812397423,29.205323365469273,29.205323365469273,isothermal_hot
13,1.0649999999999986,469.483568075118,500,0.06297479916138649,31.56381393150701,31.56381393150701,isothermal_hot
14,1.0699999999999985,467.2897196261689,500,0.06765864847381309,33.9112317718826,33.9112317718826,isothermal_hot
15,1.0749999999999984,465.11627906976815,500,0.07232066157962436,36.24768037001344,36.24768037001344,isothermal_hot
16,1.0799999999999983,462.9629629629637,500,0.07696104113612634,38.57326176536228,38.57326176536228,isothermal_hot
17,1.0849999999999982,460.8294930875584,500,0.08157998699242164,40.8880765801771,40.8880765801771,isothermal_hot
18,1.089999999999998,458.715596330276,500,0.08617769624104987,43.19222404561489,43.19222404561489,isothermal_hot
19,1.094999999999998,456.6210045662109,500,0.09075436326846287,45.485802027266274,45.485802027266274,isothermal_hot
20,1.0999999999999979,454.5454545454554,500,0.0953101798043221,47.768907050097326,47.768907050097326,isothermal_hot
21,1.1049999999999978,452.4886877828063,500,0.09984533496971437,50.041634322824606,50.041634322824606,isothermal_hot
22,1.1099999999999977,450.4504504504514,500,0.10436001532424122,52.30407776173864,52.30407776173864,isothermal_hot
23,1.1149999999999975,448.43049327354356,500,0.10885440491207987,54.556330013990895,54.556330013990895,isothermal_hot
24,1.1199999999999974,446.42857142857247,500,0.11332868530700146,56.798482480358615,56.798482480358615,isothermal_hot
25,1.1249999999999973,444.4444444444455,500,0.11778303565638026,59.030625337501476,59.030625337501476,isothermal_hot
26,1.1299999999999972,442.47787610619577,500,0.12221763272424724,61.252847559723705,61.252847559723705,isothermal_hot
27,1.1349999999999971,440.5286343612346,500,0.12663265093336307,63.465236940254684,63.465236940254684,isothermal_hot
28,1.139999999999997,438.59649122807133,500,0.1310282624064012,65.66788011206086,65.66788011206086,isothermal_hot
29,1.144999999999997,436.68122270742475,500,0.1354046370062001,67.86086256820121,67.86086256820121,isothermal_hot
30,1.1499999999999968,434.7826086956534,500,0.1397619423751557,70.04426868173833,70.04426868173833,isothermal_hot
31,1.1549999999999967,432.9004329004341,500,0.14410034397375426,72.2181817252166,72.2181817252166,isothermal_hot
32,1.1599999999999966,431.03448275862195,500,0.14842000511827003,74.38268388971876,74.38268388971876,isothermal_hot
33,1.1649999999999965,429.18454935622447,500,0.1527210870176603,76.53785630351187,76.53785630351187,isothermal_hot
34,1.1699999999999964,427.3504273504287,500,0.15700374880966095,78.683779050293,78.683779050293,isothermal_hot
35,1.1749999999999963,425.53191489361836,500,0.16126814759611996,80.82053118704513,80.82053118704513,isothermal_hot
36,1.1799999999999962,423.7288135593234,500,0.16551443847757064,82.94819076151323,82.94819076151323,isothermal_hot
37,1.184999999999996,421.94092827004357,500,0.16974277458709075,85.06683482930985,85.06683482930985,isothermal_hot
38,1.189999999999996,420.16806722689216,500,0.17395330712343515,87.17653947066007,87.17653947066007,isothermal_hot
39,1.1949999999999958,418.41004184100564,500,0.17814618538347027,89.27737980679454,89.27737980679454,isothermal_hot
40,1.1999999999999957,416.66666666666816,500,0.18232155679395134,91.36943001599957,91.36943001599957,isothermal_hot
41,1.2049999999999956,414.93775933610107,500,0.18647956694261403,93.45276334933291,93.45276334933291,isothermal_hot
42,1.2099999999999955,413.2231404958693,500,0.19062035960864598,95.52745214601342,95.52745214601342,isothermal_hot
43,1.2149999999999954,411.5226337448575,500,0.19474407679250838,97.59356784849277,97.59356784849277,isothermal_hot
44,1.2199999999999953,409.8360655737721,500,0.1988508587451605,99.65118101721706,99.65118101721706,isothermal_hot
45,1.2249999999999952,408.16326530612406,500,0.20294084399668577,101.70036134508591,101.70036134508591,isothermal_hot
46,1.229999999999995,406.50406504065205,500,0.2070141693843226,103.74117767161653,103.74117767161653,isothermal_hot
47,1.234999999999995,404.85829959514336,500,0.2110709700799358,105.77369799681979,105.77369799681979,isothermal_hot
48,1.2399999999999949,403.2258064516146,500,0.21511137961694082,107.7979894947955,107.7979894947955,isothermal_hot
49,1.2449999999999948,401.60642570281294,500,0.21913552991666663,109.81411852705358,109.81411852705358,isothermal_hot
50,1.2499999999999947,400.0000000000017,500,0.22314355131420527,111.82215065556764,111.82215065556764,isothermal_hot
51,1.2549999999999946,398.40637450199375,500,0.22713557258374273,113.82215065556765,113.82215065556765,isothermal_hot
52,1.2599999999999945,396.82539682539857,500,0.23111172096338173,115.81418252807762,115.81418252807762,isothermal_hot
53,1.2649999999999944,395.2569169960492,500,0.2350721221794796,117.79830951220461,117.79830951220461,isothermal_hot
54,1.2699999999999942,393.7007874015766,500,0.23901690047049584,119.77459409718486,119.77459409718486,isothermal_hot
55,1.2749999999999941,392.15686274509983,500,0.24294617861038503,121.74309803419274,121.74309803419274,isothermal_hot
56,1.279999999999994,390.6250000000018,500,0.24686007793152065,123.70388234791824,123.70388234791824,isothermal_hot
57,1.284999999999994,389.1050583657606,500,0.25075871834717844,125.65700734791825,125.65700734791825,isothermal_hot
58,1.2899999999999938,387.59689922480806,500,0.2546422183735757,127.60253263974705,127.60253263974705,isothermal_hot
59,1.2949999999999937,386.100386100388,500,0.2585106951514966,129.54051713587108,129.54051713587108,isothermal_hot
60,1.2999999999999936,384.6153846153865,500,0.26236426446748595,131.47101906637303,131.47101906637303,isothermal_hot
61,1.3049999999999935,383.14176245210916,500,0.26620304077465207,133.39409598944997,133.39409598944997,isothermal_hot
62,1.3099999999999934,381.679389312979,500,0.2700271372130558,135.3098048017105,135.3098048017105,isothermal_hot
63,1.3149999999999933,380.2281368821312,500,0.2738366656297231,137.2182017482754,137.2182017482754,isothermal_hot
64,1.3199999999999932,378.78787878788074,500,0.27763173659827345,139.11934243268604,139.11934243268604,isothermal_hot
65,1.324999999999993,377.35849056603973,500,0.2814124594381795,141.01328182662544,141.01328182662544,isothermal_hot
66,1.329999999999993,375.93984962406216,500,0.2851789422336566,142.90007427945565,142.90007427945565,isothermal_hot
67,1.3349999999999929,374.5318352059945,500,0.288931291852208,144.77977352757597,144.77977352757597,isothermal_hot
68,1.3399999999999928,373.13432835821095,500,0.2926696139628149,146.65243270360594,146.65243270360594,isothermal_hot
69,1.3449999999999926,371.7472118959128,500,0.2963940130537974,148.518104345397,148.518104345397,isothermal_hot
70,1.3499999999999925,370.3703703703724,500,0.3001045924503334,150.37684040487656,150.37684040487656,isothermal_hot
71,1.3549999999999924,369.0036900369024,500,0.3038014543316585,152.22869225672844,152.22869225672844,isothermal_hot
72,1.3599999999999923,367.6470588235315,500,0.30748469974795434,154.07371070691295,154.07371070691295,isothermal_hot
73,1.3649999999999922,366.3003663003684,500,0.3111544286369181,155.9119460010306,155.9119460010306,isothermal_hot
74,1.3699999999999921,364.9635036496371,500,0.31481073984002705,157.74344783253244,157.74344783253244,isothermal_hot
75,1.374999999999992,363.63636363636573,500,0.31845373111852915,159.56826535078062,159.56826535078062,isothermal_hot
76,1.379999999999992,362.3188405797123,500,0.32208349916910706,161.38644716896246,161.38644716896246,isothermal_hot
77,1.3849999999999918,361.01083032491186,500,0.3257001396392951,163.19804137186102,163.19804137186102,isothermal_hot
78,1.3899999999999917,359.7122302158295,500,0.32930374714259436,165.00309552348557,165.00309552348557,isothermal_hot
79,1.3949999999999916,358.4229390681025,500,0.33289441527332286,166.80165667456473,166.80165667456473,isothermal_hot
80,1.3999999999999915,357.1428571428593,500,0.33647223662120673,168.59377136990523,168.59377136990523,isothermal_hot
81,1.4049999999999914,355.8718861209986,500,0.3400373027857029,170.37948565561953,170.37948565561953,isothermal_hot
82,1.4099999999999913,354.60992907801636,500,0.3435897043900713,172.15884508622452,172.15884508622452,isothermal_hot
83,1.4149999999999912,353.3568904593662,500,0.3471295310951952,173.9318947316146,173.9318947316146,isothermal_hot
84,1.419999999999991,352.11267605634026,500,0.35065687161316283,175.69867918391142,175.69867918391142,isothermal_hot
85,1.424999999999991,350.8771929824584,500,0.35417181372060824,177.45924256419312,177.45924256419312,isothermal_hot
86,1.4299999999999908,349.65034965035187,500,0.35767444427180983,179.21362852910542,179.21362852910542,isothermal_hot
87,1.4349999999999907,348.43205574913117,500,0.361164849211578,180.96188027735718,180.96188027735718,isothermal_hot
88,1.4399999999999906,347.2222222222245,500,0.3646431135879027,182.70404055610283,182.70404055610283,isothermal_hot
89,1.4449999999999905,346.020761245677,500,0.3681093215643898,184.44015166721394,184.44015166721394,isothermal_hot
90,1.4499999999999904,344.82758620689884,500,0.37156355643247707,186.17025547344232,186.17025547344232,isothermal_hot
91,1.4549999999999903,343.6426116838511,500,0.3750059006234494,187.89439340447683,187.89439340447683,isothermal_hot
92,1.4599999999999902,342.46575342465985,500,0.3784364357202392,189.61260646289608,189.61260646289608,isothermal_hot
93,1.46499999999999,341.2969283276474,500,0.38185524246902425,191.32493523001938,191.32493523001938,isothermal_hot
94,1.46999999999999,340.136054421771,500,0.3852624007906389,193.03141987165762,193.03141987165762,isothermal_hot
95,1.4749999999999899,338.98305084745994,500,0.3886579897917759,194.73210014376647,194.73210014376647,isothermal_hot
96,1.4799999999999898,337.8378378378402,500,0.39204208777601757,196.42701539800376,196.42701539800376,isothermal_hot
97,1.4849999999999897,336.70033670033905,500,0.3954147722546555,198.11620458719295,198.11620458719295,isothermal_hot
98,1.4899999999999896,335.57046979866004,500,0.3987761199573612,199.79970627069466,199.79970627069466,isothermal_hot
99,1.4949999999999894,334.4481605351194,500,0.40212620684264344,201.47755861968795,201.47755861968795,isothermal_hot
100,1.4999999999999893,333.3333333333357,500,0.4054651081081566,203.14979942236354,203.14979942236354,isothermal_hot
101,1.5049999999999892,332.22591362126485,500,0.4087928982008311,204.81646608903023,204.81646608903023,isothermal_hot
102,1.5099999999999891,331.12582781457195,500,0.41210965082682627,206.47759565713656,206.47759565713656,isothermal_hot
103,1.514999999999989,330.03300330033244,500,0.4154154389613254,208.13322479620942,208.13322479620942,isothermal_hot
104,1.519999999999989,328.94736842105505,500,0.41871033485817755,209.78338981271108,209.78338981271108,isothermal_hot
105,1.5249999999999888,327.8688524590188,500,0.42199441005936755,211.42812665481637,211.42812665481637,isothermal_hot
106,1.5299999999999887,326.79738562091745,500,0.4252677354043364,213.06747091711145,213.06747091711145,isothermal_hot
107,1.5349999999999886,325.73289902280374,500,0.42853038103915253,214.70145784521603,214.70145784521603,isothermal_hot
108,1.5399999999999885,324.6753246753271,500,0.4317824164255306,216.33012234033004,216.33012234033004,isothermal_hot
109,1.5449999999999884,323.6245954692581,500,0.43502391034970067,217.95349896370666,217.95349896370666,isothermal_hot
110,1.5499999999999883,322.58064516129275,500,0.43825493093114787,219.57162194105297,219.57162194105297,isothermal_hot
111,1.5549999999999882,321.5434083601311,500,0.4414755456311905,221.18452516685943,221.18452516685943,isothermal_hot
112,1.559999999999988,320.51282051282294,500,0.4446858212614373,222.7922422086601,222.7922422086601,isothermal_hot
113,1.564999999999988,319.48881789137624,500,0.4478858239921095,224.39480631122422,224.39480631122422,isothermal_hot
114,1.5699999999999878,318.4713375796203,500,0.4510756193602088,225.9922504006811,225.9922504006811,isothermal_hot
115,1.5749999999999877,317.4603174603199,500,0.4542552722775888,227.5846070885792,227.5846070885792,isothermal_hot
116,1.5799999999999876,316.4556962025341,500,0.4574248470388671,229.1719086758808,229.1719086758808,isothermal_hot
117,1.5849999999999875,315.45741324921386,500,0.460584407329236,230.75418715689347,230.75418715689347,isothermal_hot
118,1.5899999999999874,314.4654088050339,500,0.4637340162321326,232.33147422313954,232.33147422313954,isothermal_hot
119,1.5949999999999873,313.4796238244539,500,0.4668737362367992,233.9038012671647,233.9038012671647,isothermal_hot
120,1.5999999999999872,312.5000000000025,500,0.4700036292457277,235.47119938628697,235.47119938628697,isothermal_hot
121,1.604999999999987,311.52647975078133,500,0.4731237565819715,237.03369938628697,237.03369938628697,isothermal_hot
122,1.609999999999987,310.55900621118263,500,0.4762341789963642,238.59133178504086,238.59133178504086,isothermal_hot
123,1.614999999999987,309.59752321981676,500,0.47933495667461123,240.1441268160968,240.1441268160968,isothermal_hot
124,1.6199999999999868,308.6419753086445,500,0.48242614924428473,241.69211443219586,241.69211443219586,isothermal_hot
125,1.6249999999999867,307.69230769231024,500,0.485507815781693,243.23532430873908,243.23532430873908,isothermal_hot
126,1.6299999999999866,306.7484662576712,500,0.48858001481866253,244.77378584720063,244.77378584720063,isothermal_hot
